Household Key,Mail Responder,Motorcycle Indicator,Income,Credit Ranges,age,Number of Children,Num Vehicles Owned,FSV Services Purchased,Home Owner_Probable Home Owner,Home Owner_Probable Renter,Home Owner_Renter,Home Owner_nan,Dwelling Type_Multy-Family Apt,Dwelling Type_PO Box,Dwelling Type_Single-Family Home,Dwelling Type_nan,Education_Graduated School,Education_High School,Education_Some College,Education_Unknown,Education_nan,Gender_Male,Gender_Unknown,Gender_nan,Bought FSV,Total Cost
969.0,1,1,95.0,708.3333333333335,75.5,0.0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,226.1
3338.0,1,0,15.0,675.0,89.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.0
8718.0,1,0,55.0,737.5,68.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.0
11524.0,1,1,157.85714285714286,753.5714285714287,49.0,2.0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,294.25
13422.0,1,1,95.0,668.75,69.33333333333333,0.0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,118.85
19747.0,1,0,55.0,725.0,94.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.0
20469.0,1,1,95.0,811.5384615384613,76.0,0.0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,537.25
25365.0,1,0,105.0,675.0,53.0,2.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.0
30007.0,1,0,98.33333333333331,731.25,70.5,1.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,34.0
38093.0,1,1,116.25,745.8333333333335,45.33333333333334,2.0,6,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,555.85
43381.0,1,0,71.66666666666667,731.25,59.66666666666666,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,102.0
49578.0,1,0,95.0,775.0,75.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,30.0
55295.0,1,0,25.0,525.0,72.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
73421.0,1,0,95.0,775.0,72.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0.0
93896.0,1,0,105.0,737.5,77.0,0.0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,130.0
94927.0,1,0,15.0,625.0,96.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.0
106487.0,1,0,89.0,746.4285714285713,45.66666666666666,1.0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,178.7
115289.0,1,0,25.0,650.0,91.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.0
115306.0,1,0,40.0,775.0,78.0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
115351.0,1,0,95.0,690.0,79.0,1.0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,38.0
115430.0,1,0,10.0,775.0,98.0,0.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,53.0
117430.0,1,0,95.0,725.0,77.16666666666667,0.0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,165.0
118068.0,1,0,75.0,712.5,38.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,53.0
143051.0,1,0,35.0,725.0,90.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,28.0
143458.0,1,0,45.0,687.5,64.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0
143890.0,1,0,75.0,725.0,65.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,83.0
170964.0,1,1,105.0,681.25,67.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,58.85
171827.0,1,1,102.5,716.6666666666665,43.125,1.0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,307.13
175016.0,1,0,55.0,687.5,73.0,0.0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,106.0
193851.0,1,0,95.0,725.0,62.5,0.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,188.0
195458.0,1,0,10.0,681.25,87.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,111.85
196101.0,1,1,75.0,687.5,82.0,2.0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,53.0
197694.0,1,0,105.0,775.0,69.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.0
197818.0,1,1,45.0,695.0,68.0,2.0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,158.85
252323.0,1,1,55.0,725.0,74.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,58.85
252739.0,1,1,105.0,783.3333333333335,74.0,1.0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,247.85
255885.0,1,0,180.0,775.0,75.0,2.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0
269686.0,1,0,250.0,720.0,70.0,4.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,53.0
271248.0,1,0,95.0,637.5,66.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,30.0
326010.0,1,1,105.0,675.0,47.0,0.0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,178.23
346809.0,1,0,180.0,780.0,57.33333333333334,2.0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.0
349143.0,1,1,105.0,743.75,69.0,0.0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,141.85
353009.0,1,1,15.0,650.0,97.0,0.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,53.0
353015.0,1,0,45.0,625.0,83.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,246.0
409332.0,1,0,45.0,700.0,57.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,146.0
437059.0,1,0,75.0,775.0,65.5,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.0
437118.0,1,1,95.0,712.5,85.0,1.0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,53.0
444621.0,1,0,55.0,575.0,75.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,53.0
447616.0,1,1,105.0,725.0,47.0,1.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,106.0
452132.0,1,1,55.0,675.0,71.0,1.0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,376.85
452226.0,1,1,50.0,675.0,67.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,53.0
456159.0,1,1,117.5,731.25,57.125,2.0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,276.7
459909.0,1,1,95.0,775.0,75.75,1.0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,170.7
461299.0,1,1,95.0,675.0,72.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,96.0
472416.0,1,0,35.0,725.0,95.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0
491665.0,1,1,95.0,825.0,72.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,53.0
508725.0,1,1,113.33333333333331,757.1428571428571,70.5,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,276.7
509521.0,1,0,85.0,808.3333333333335,62.0,4.0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,28.0
510677.0,1,0,45.0,700.0,87.5,3.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0
514498.0,1,0,35.0,775.0,72.0,2.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.0
516107.0,1,0,22.5,700.0,72.5,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,159.0
517342.0,1,1,180.0,775.0,56.6,2.0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,159.0
520210.0,1,0,171.66666666666666,703.5714285714287,62.0,1.0,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,270.0
