Household Key,Mail Responder,Motorcycle Indicator,Income,Credit Ranges,age,Number of Children,Num Vehicles Owned,FSV Services Purchased,Home Owner_Probable Home Owner,Home Owner_Probable Renter,Home Owner_Renter,Home Owner_nan,Dwelling Type_Multy-Family Apt,Dwelling Type_PO Box,Dwelling Type_Single-Family Home,Dwelling Type_nan,SC Vehicle Manufacturer Name_AUDI,SC Vehicle Manufacturer Name_BMW,SC Vehicle Manufacturer Name_BUICK,SC Vehicle Manufacturer Name_CADILLAC,SC Vehicle Manufacturer Name_CHEVROLET,SC Vehicle Manufacturer Name_CHRYSLER,SC Vehicle Manufacturer Name_DODGE,SC Vehicle Manufacturer Name_FORD,SC Vehicle Manufacturer Name_GEO,SC Vehicle Manufacturer Name_GMC,SC Vehicle Manufacturer Name_HONDA,SC Vehicle Manufacturer Name_HYUNDAI,SC Vehicle Manufacturer Name_INFINITI,SC Vehicle Manufacturer Name_ISUZU,SC Vehicle Manufacturer Name_JEEP,SC Vehicle Manufacturer Name_KIA,SC Vehicle Manufacturer Name_LAND ROVER,SC Vehicle Manufacturer Name_LEXUS,SC Vehicle Manufacturer Name_LINCOLN,SC Vehicle Manufacturer Name_MAZDA,SC Vehicle Manufacturer Name_MERCEDES-BENZ,SC Vehicle Manufacturer Name_MERCURY,SC Vehicle Manufacturer Name_MITSUBISHI,SC Vehicle Manufacturer Name_NISSAN,SC Vehicle Manufacturer Name_OLDSMOBILE,SC Vehicle Manufacturer Name_PLYMOUTH,SC Vehicle Manufacturer Name_PONTIAC,SC Vehicle Manufacturer Name_PORSCHE,SC Vehicle Manufacturer Name_RAM,SC Vehicle Manufacturer Name_SAAB,SC Vehicle Manufacturer Name_SATURN,SC Vehicle Manufacturer Name_SCION,SC Vehicle Manufacturer Name_SUBARU,SC Vehicle Manufacturer Name_SUZUKI,SC Vehicle Manufacturer Name_TOYOTA,SC Vehicle Manufacturer Name_VOLKSWAGEN,SC Vehicle Manufacturer Name_VOLVO,Education_Graduated School,Education_High School,Education_Some College,Education_Unknown,Education_nan,Gender_Male,Gender_Unknown,Gender_nan,Bought FSV,Total Cost
969,1,1,0.35416666700000005,0.6124031010000001,0.685897436,0.0,0.095238095,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,226.1
3338,1,0,0.020833333,0.50166113,0.8589743590000001,0.166666667,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0
8718,1,0,0.1875,0.709302326,0.58974359,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0
11524,1,1,0.616071429,0.7626957759999999,0.346153846,0.333333333,0.14285714300000002,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,294.25
13422,1,1,0.35416666700000005,0.48089701,0.606837607,0.0,0.095238095,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,118.85
19747,1,0,0.1875,0.667774086,0.923076923,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0
20469,1,1,0.35416666700000005,0.955277281,0.692307692,0.0,0.095238095,0.035714286,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,537.25
25365,1,0,0.39583333299999995,0.50166113,0.39743589700000004,0.333333333,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0
30007,1,0,0.368055556,0.6885382059999999,0.621794872,0.166666667,0.047619048,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34.0
38093,1,1,0.44270833299999995,0.736987818,0.299145299,0.333333333,0.28571428600000004,0.071428571,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,555.85
